superficie_afectada_por_incendios_anio;superficie_afectada_por_incendios_provincia;superficie_afectada_por_incendios_total_hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas;;;;;;;;;;;;;;;;;;
1993;Buenos Aires;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Catamarca;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Chaco;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Chubut;149.5;10;6.25;0;133.25;0;;;;;;;;;;;;;;;;;;
1993;Córdoba;232941;59995;250;0;172696;0;;;;;;;;;;;;;;;;;;
1993;Corrientes;1727;0;918;0;809;0;;;;;;;;;;;;;;;;;;
1993;Entre Ríos;75;75;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Formosa;31;0;26;0;5;0;;;;;;;;;;;;;;;;;;
1993;Jujuy;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;La Pampa;1207510;1207510;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;La Rioja;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Mendoza;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Misiones;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Neuquén;340.85;282.31;6;0;52.54;0;;;;;;;;;;;;;;;;;;
1993;Río Negro;111;108;0;0;3;0;;;;;;;;;;;;;;;;;;
1993;Salta;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;San Juan;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;San Luis;330147;0;0;0;330147;0;;;;;;;;;;;;;;;;;;
1993;Santa Cruz;6351;727;0;0;5624;0;;;;;;;;;;;;;;;;;;
1993;Santa Fe;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Santiago del Estero;13000;9100;0;0;3900;0;;;;;;;;;;;;;;;;;;
1993;Tierra del Fuego;28.05;28.05;0;0;0;0;;;;;;;;;;;;;;;;;;
1993;Tucumán;4412;3703;4;0;705;0;;;;;;;;;;;;;;;;;;
1994;Buenos Aires;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Catamarca;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1994;Chaco;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
